Name,Tag_Series,Ticker,Link
"Purchasing Power Parity Converted GDP Per Capita Relative to the United States, G-K method, at current prices for Armenia",https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/PGDPUSAMA621NUPN,PGDPUSAMA621NUPN,https://fred.stlouisfed.org/series/PGDPUSAMA621NUPN
Financial System Deposits to GDP for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDDI08AMA156NWDB,DDDI08AMA156NWDB,https://fred.stlouisfed.org/series/DDDI08AMA156NWDB
Central Government Net Lending/borrowing (central Govt Fiscal Balance) for Armenia,"https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/ARMGCXCNLGDPGDPPT""Stock Market Turnover Ratio (Value Traded/Capitalization) for Armenia","ARMGCXCNLGDPGDPPT""Stock Market Turnover Ratio (Value Traded/Capitalization) for Armenia","https://fred.stlouisfed.org/series/ARMGCXCNLGDPGDPPT""Stock Market Turnover Ratio (Value Traded/Capitalization) for Armenia"
Number of Bank Accounts for Armenia,https://fred.stlouisfed.org/tags/series?et=&pageID=3&t=armenia/series/DDAI01AMA642NWDB,DDAI01AMA642NWDB,https://fred.stlouisfed.org/series/DDAI01AMA642NWDB
Private Credit by Deposit Money Banks to GDP for Armenia,https://fred.stlouisfed.org/tags/series?et=&pageID=3&t=armenia/series/DDDI01AMA156NWDB,DDDI01AMA156NWDB,https://fred.stlouisfed.org/series/DDDI01AMA156NWDB
H-Statistic in Banking Market for Armenia,https://fred.stlouisfed.org/tags/series?et=&pageID=3&t=armenia/series/DDOI03AMA066NWDB,DDOI03AMA066NWDB,https://fred.stlouisfed.org/series/DDOI03AMA066NWDB
Non-Life Insurance Premium Volume to GDP for Armenia,https://fred.stlouisfed.org/tags/series?et=&pageID=3&t=armenia/series/DDDI10AMA156NWDB,DDDI10AMA156NWDB,https://fred.stlouisfed.org/series/DDDI10AMA156NWDB
Number of Identified Exporters to Armenia from Massachusetts,https://fred.stlouisfed.org/tags/series?et=&pageID=3&t=armenia/series/MAARMA475SCEN,MAARMA475SCEN,https://fred.stlouisfed.org/series/MAARMA475SCEN
Total Expenditure and Net Lending for General Government for Armenia,https://fred.stlouisfed.org/tags/series?et=&pageID=3&t=armenia/series/ARMGGENLGDPGDPPT,ARMGGENLGDPGDPPT,https://fred.stlouisfed.org/series/ARMGGENLGDPGDPPT
Price Level of Exports for Armenia,https://fred.stlouisfed.org/tags/series?et=&pageID=3&t=armenia/series/PLXCPPAMA670NRUG,PLXCPPAMA670NRUG,https://fred.stlouisfed.org/series/PLXCPPAMA670NRUG
Purchasing Power Parity Converted GDP Laspeyres per person counted in total employment for Armenia,https://fred.stlouisfed.org/tags/series?et=&pageID=3&t=armenia/series/RGDPTEAMA629NUPN,RGDPTEAMA629NUPN,https://fred.stlouisfed.org/series/RGDPTEAMA629NUPN
